,,,,,,,,,,,
Category,OpCode (Hex),Function (Hex),,IR[5..0],Instruction,Example,Meaning,MIPS?,,Comments,IsSigned = false
Arithmetic,0x00,0x21,,100001,add - unsigned,"addu $s1, $s2, $s3",$s1 = $s2 + $s3,yes,,Adds two registers and stores the result in a register,
,0x09,,001001,,add immediate unsigned,"addiu $s1, $s2, IMM",$s1 = $s2 + IMM,yes,,Adds a register and a sign-extended immediate value and stores the result in a register,
,0x00,0x23,,100011,sub unsigned,"subu $s1, $s2, $s3",$s1 = $s2 - $s3,yes,,Subtracts two registers and stores the result in a register,
,0x10,,010000,,sub immediate unsigned,"subiu $s1, $s2, IMM",$s1 = $s2 - IMM,no,,Subtracts IMM from a register and stores the result in a register,
,0x00,0x18,,011000,mult ,"mult $s, $t",$LO= $s * $t,yes,,Multiplies $s by $t and stores the lower half of the result in $LO and the upper half in $HI.,
,0x00,0x19,,011001,mult unsigned,"multu $s, $t",$LO= $s * $t,yes,,Multiplies (unsigned) $s by $t and stores the lower half of the result in $LO and the upper half in $HI.,
Logical,0x00,0x24,,100100,and,"and $s1, $s2, $s3",$s1 = $s2 and $s3,yes,,The contents of s3 are combined with the contents of s2 in a bitwise logical AND operation. The result is placed into s1.,
,0x0C,,001100,,andi,"andi $s1, $s2, IMM",$s1 = $s2 and IMM,yes,,The 16-bit immediate is zero-extended to the left and combined with the contents of s2 in a bitwise logical AND operation. The result is placed into s1.,yes
,0x00,0x25,,100101,or,"or $s1, $s2, $s3",$s1 = $s2 or $s3,yes,,The contents of s3 are combined with the contents of s2 in a bitwise logical OR operation. The result is placed into s1.,
,0x0D,,001101,,ori,"ori $s1, $s2, IMM",$s1 = $s2 or IMM,yes,,The 16-bit immediate is zero-extended to the left and combined with the contents of s2 in a bitwise logical OR operation. The result is placed into s1.,yes
,0x00,0x26,,100110,xor,"xor $s1, $s2, $s3",$s1 = $s2 xor $s3,yes,,Combine the contents of s3 and s2 in a bitwise logical exclusive OR operation and place the result into s1.,
,0x0E,,001110,,xori,"xori $s1, $s2, IMM",$s1 = $s2 xor IMM,yes,,Combine the contents of s2 and the 16-bit zero-extended immediate in a bitwise logical exclusive OR operation and place the result into s1.,yes
,0x00,0x02,,000010,srl -shift right logical,"srl $s1, $s2, H",$s1 = $s2 >> H,yes,,These logical shifts append 0s. Where H is the number of shifts desired. H is an 5-bit immediate value stored in bits 10-6 of the instruction register.,
,0x00,0x00,,000000,sll -shift left logical ,"sll $s1, $s2, H",$s1 = $s2 << H,yes,,These logical shifts append 0s. Where H is the number of shifts desired. H is an 5-bit immediate value stored in bits 10-6 of the instruction register.,
,0x00,0x03,,000011,sra -shift right arithmetic,"sra $s1, $s2, H",$s1 = $s2 >> H,yes,,"These arithmetic shifts, if signed bit is 1, will append 1s. If signed bit is 0, will append 0s.  H is an 5-bit immediate value stored in bits 10-6 of the instruction register.",
,0x00,0x2A,,101010,slt -set on less than signed,"slt $s1,$s2, $s3",$s1=1 if $s2 < $3 else $s1=0,yes,,"Compare the contents of s3 and s2 as signed integers and record the Boolean result of the comparison in s1. If s2 is less than s3 the result is 1 (true), otherwise 0 (false). The arithmetic comparison does not cause an Integer Overflow exception.",
,0x0A,,001010,,slti -set on less than immediate signed,"slti $s1,$s2, IMM",$s1=1 if $s2 < IMM else $s1=0,yes,,"Compare the contents of s2 and the 16-bit signed immediate as signed integers and record the Boolean result of the comparison in s1. If s2 is less than immediate the result is 1 (true), otherwise 0 (false). The arithmetic comparison does not cause an Integer Overflow exception.",
